IdCliente;Descripcion;Nombres;ApellidoPaterno;ApellidoMaterno;ApellidoCasada;ConocidoPor;Genero;EstadoFamiliar;TipoDNI;NumeroDNI;FechaNacimiento;Cargo;DescripcionIngreso;Empresa;FechaInicioIngreso;FuenteIngreso;IngresoMensual;ScoreCrediticio;PuntuacionCrediticia;FechaConsultaScore;CreditosVigentes;MontoTotalDeudaActual
45;NULL;Claudia Marcela;Aguilar;Cruz;NULL;NULL;FEMENINO;SOLTERO/A;DUI;12345670-9;12/12/1991;Arquitecto senior;Diseño de proyectos residenciales;Grupo Roble;3/11/2019;Honorarios profesionales;2750;745;Muy Bueno;12/3/2015;1;105000
56;NULL;Ana Sofía;Serrano;Díaz;NULL;NULL;FEMENINO;SOLTERO/A;DUI;01234567-8;10/9/1999;Consultor financiero;Asesoría a empresas del grupo;Grupo Poma;20/1/2020;Consultoría;3100;710;Bueno;5/10/2014;1;128000
78;NULL;Verónica Elizabeth;Pérez;Torres;de Ramírez;NULL;FEMENINO;CASADO/A;DUI;56789012-3;28/7/1981;Jefe de cocina;Supervisión de preparación de alimentos;Pollo Campero;14/8/2021;Salario fijo;720;702;Bueno;5/11/2019;1;81000
89;Cliente antiguo;Gerardo Alberto;Serrano;Díaz;NULL;NULL;MASCULINO;ACOMPAÑADO/A;DUI;34567890-1;12/7/1973;Ejecutivo de créditos;Colocación de productos crediticios;BAC Credomatic;12/7/2022;Comisiones;950;715;Bueno;14/8/2014;1;129000
89;Cliente antiguo;Gerardo Alberto;Serrano;Díaz;NULL;NULL;MASCULINO;ACOMPAÑADO/A;DUI;34567890-1;12/7/1973;Ejecutivo de créditos;Colocación de productos crediticios;BAC Credomatic;12/7/2022;Comisiones;950;715;Bueno;14/8/2014;1;129000
104;NULL;Julia Margarita;Mejía;Quintanilla;NULL;NULL;FEMENINO;SOLTERO/A;DUI;34567890-1;5/9/1989;Ingeniero de procesos;Optimización de procesos industriales;Alba Petróleos;5/9/2018;Salario fijo;2200;730;Bueno;8/10/2013;1;51000
112;NULL;Ana Cecilia;Flores;Ramírez;NULL;NULL;FEMENINO;SOLTERO/A;NIT;9012-345678-901-2;25/1/1983;Representante médico;Visita a médicos y farmacias;Distribuidora Rivas;10/1/2023;Ventas independientes;1250;736;Bueno;14/1/2015;1;60000
125;NULL;José Manuel;Serrano;Díaz;NULL;NULL;MASCULINO;ACOMPAÑADO/A;DUI;89012345-6;8/7/1973;Asesor legal;Asesoría jurídica a dependencias;Casa Presidencial;22/4/2019;Salario fijo;1950;737;Bueno;16/12/2013;1;130000
142;NULL;Ana Patricia;Hernández;Serrano;de Quintanilla;NULL;FEMENINO;CASADO/A;NIT;0123-456789-012-3;30/8/1983;Profesor tiempo parcial;Imparte clases de economía;Universidad ESEN;15/3/2022;Honorarios;850;734;Bueno;20/4/2015;1;81000
403;NULL;Ana Isabel;Hernández;Serrano;de Quintanilla;NULL;FEMENINO;CASADO/A;DUI;56789012-3;8/2/1974;Gerente de local;Administración de tienda;Centro Comercial Metrocentro;12/4/2019;Salario fijo;1450;798;Muy Bueno;23/7/2021;1;71000
409;NULL;Glenda Patricia;Flores;Ramírez;NULL;NULL;FEMENINO;SOLTERO/A;DUI;90123456-7;25/12/1976;Genetista;Estudios de ADN;Laboratorio de Genética;30/9/2022;Salario fijo;2250;775;Muy Bueno;12/8/2013;1;94000
411;NULL;José Alfredo;López;Hernández;NULL;NULL;MASCULINO;SOLTERO/A;NIT;5678-901234-567-8;23/11/1991;Agrónomo;Mejora de cultivos;Centro de Investigación Agropecuaria;15/1/2023;Salario fijo;1950;789;Muy Bueno;25/1/2018;1;67000
412;Cliente preferente;Ana Lucía;Hernández;Martínez;de López;NULL;FEMENINO;CASADO/A;DUI;56789012-3;5/4/1976;Programador;Regalías por aplicaciones;Desarrollador de Software;28/6/2021;Ingresos por patentes;2050;778;Muy Bueno;9/10/2018;1;141000
412;Cliente preferente;Ana Lucía;Hernández;Martínez;de López;NULL;FEMENINO;CASADO/A;DUI;56789012-3;5/4/1976;Programador;Regalías por aplicaciones;Desarrollador de Software;28/6/2021;Ingresos por patentes;2050;794;Muy Bueno;23/1/2019;1;141000
414;Cliente nuevo;Sofía Alejandra;García;Rodríguez;NULL;NULL;FEMENINO;SOLTERO/A;NIT;6789-012345-678-9;27/2/1994;Especialista en láser;Procedimientos cosméticos;Clínica de Medicina Estética;15/7/2018;Honorarios;2850;741;Muy Bueno;28/12/2019;1;126000
419;Cliente especial;Patricia Elizabeth;Ramírez;Díaz;de Sánchez;Paty;FEMENINO;CASADO/A;NIT;0123-456789-012-3;11/11/1987;Físico cuántico;Investigación teórica;Instituto de Investigación Científica;8/3/2021;Salario fijo;2450;801;Excelente;27/9/2021;1;89000
419;Cliente especial;Patricia Elizabeth;Ramírez;Díaz;de Sánchez;Paty;FEMENINO;CASADO/A;NIT;0123-456789-012-3;11/11/1987;Físico cuántico;Investigación teórica;Instituto de Investigación Científica;8/3/2021;Salario fijo;2450;767;Muy Bueno;14/4/2020;1;89000
